Job_Title,Department,Min_Pay,Max_Pay,Min_Hours,Max_Hours,Job_Desc,Address,Phone_Number,Employer
Concessions Manager Assistant,Student Activities,8.05,8.05,20,99,Assist Concessions Manager with office and concessions tasks. Work in the office. Must be a hard worker. All interested students please contact  Norman Schlossberg at (305) 284-8339 or via email nschlossberg@miami.edu.,"125 Whitten Univ Ctr. Auxiliary Services, Coral Gables",3052843584,"MR Melvin Tenen, Department of DINING & VENDING SERVICES"
Catering/Concessions Supervisors,Housing and Dining,8.05,8.05,20,99,"Catering: No experience needed with flexible hours and a great working environment. Concessions Supervisors: No experience needed with flexible hours. For both positions you must have a good attitude and a willingness to work For both positions you must have a good attitude and a willingness to work hard. If interested, contact Norman Scholossberg at (305) 284-8339 or email nscholossberg@miami.edu ","125 Whitten Univ Ctr. Auxiliary Services, Coral Gables",3052843584,"MR Melvin Tenen, Department of DINING & VENDING SERVICES"
programer,Schools and Libraries,10.00,10.00,20,20,"This position will support architectural projects for RAD-UM at the  School of Architecture . Specifically, the job position requires some  programming knowledge in back-end and front-end web development,  working knowledge of API's, and the theoretical concepts behind object-  oriented programming. Must have some knowledge of PHP, Javascript,  and Java. This position will have the opportunity to work on a variety of  creative projects. For more info, please contact Chris Chung Telephone #  305-284-5080 E-mail: christopher.chung@miami.edu ","230D Architecture 48	 School of Architecture -STA 1223 Dickinson Dr Coral Gables, FL 33146 2501",(305)284-5080 Ext.,"SCHOOL OF ARCHITECTURE, Chris Chung"
programer,Other,10.00,10.00,20,20,"This position will support architectural projects for RAD-UM at the  School of Architecture . Specifically, the job position requires some  programming knowledge in back-end and front-end web development,  working knowledge of API's, and the theoretical concepts behind object-  oriented programming. Must have some knowledge of PHP, Javascript,  and Java. This position will have the opportunity to work on a variety of  creative projects. For more info, please contact Chris Chung Telephone #  305-284-5080 E-mail: christopher.chung@miami.edu ","230D Architecture 48	 School of Architecture -STA 1223 Dickinson Dr Coral Gables, FL 33146 2501",(305)284-5080 Ext.,"SCHOOL OF ARCHITECTURE, Chris Chung"
Research Assistant,Schools and Libraries,10.00,10.00,20,20,"Research Assistants will undergo a wide variety of tasks for RAD-UM  at the School of Architecture. This includes, but not limited to, specific  research or precedent study for a given project; 3D-modelling (in Rhino,  , Sketchup, 3DS Max, or Revit); rendering (V-Ray for Rhino or 3DS Max);  plans, sections, and elevation drawings; physical modeling; diagramming or  post-production using the Adobe Suite programs. Additionally, those who  have a knack or are interested in technology and its influence on  Architecture should apply. ","230D Architecture 48	 School of Architecture -STA 1223 Dickinson Dr Coral Gables, FL 33146 2501",(305)284-5080 Ext.,"MR Christopher Chung, Department of SCHOOL OF ARCHITECTURE"
Research Assistant,Other,8.50,10.00,20,20,"Research Assistants will undergo a wide variety of tasks for RAD-UM  at the School of Architecture. This includes, but not limited to, specific  research or precedent study for a given project; 3D-modelling (in Rhino,  , Sketchup, 3DS Max, or Revit); rendering (V-Ray for Rhino or 3DS Max);  plans, sections, and elevation drawings; physical modeling; diagramming or  post-production using the Adobe Suite programs. Additionally, those who  have a knack or are interested in technology and its influence on  Architecture should apply. ","230D Architecture 48	 School of Architecture -STA 1223 Dickinson Dr Coral Gables, FL 33146 2501",(305)284-5080 Ext.,"MS Jennifer Connolly, Department of POLITICAL SCIENCE"
Academic Mentor,Student Activities,9.00,12.00,20,20,"We are seeking a student employee to review and monitor academic progress of student athletes. Strong skills in time management, organization, communication, and report writing. Must be reliable, role model, patient, and have high integrity. Minimum GPA 3. Will work some evenings & Sundays. Please contact Mike Imeokparia Telephone number: (305) 284-2652  E-mail: m.imeokparia@miami.edu ","232 Hecht Varsity Athl Ctr Athletics, Varsity, Coral Gables, FL 33124",(305)284-3243,"MR Michael Imeokparia, Department of ATHLETICS ADMINISTRATION"
Federal Work Student,Administrative Offices,8.50,8.50,20,20,"We are seeking a student to assist students, faculty & staff with computer  lab station and printer problems. Oversee Lab opening functions, including  filling printer with paper and assisting users users with basic function-  ality of the Lab. Assist Supervisor with the management of the Lab,  including cleaning computer equipment and tables, move equipment as  needed, setup computer systems and assist with software installations  and updates. Performs other duties as assigned. For info contact,  Erasmo Terrero E-mail: e.terrero@miami.edu ","1053C Communication Intl	 School of Communication 1 -STA 5100 Brunson Dr Coral Gables, FL 33146 2413",(305)284-3694 Ext.,"MR Erasmo Terrero Escalante, Department of SCHOOL OF COMMUNICATION"
Federal work student,Schools and Libraries,8.05,8.05,20,20,"We are seeking a student to assist students, faculty & staff with computer  lab station and printer problems. Oversee Lab opening functions, including  filling printer with paper and assisting users users with basic function-  ality of the Lab. Assist Supervisor with the management of the Lab,  including cleaning computer equipment and tables, move equipment as  needed, setup computer systems and assist with software installations  and updates. Performs other duties as assigned. For info contact,  Erasmo Terrero E-mail: e.terrero@miami.edu   ","1053C Communication Intl	 School of Communication 1 -STA 5100 Brunson Dr Coral Gables, FL 33146 2413 ",(305)284-3694 Ext.,"SCHOOL OF COMMUNICATION, Erasmo Terrero"
Federal work student,Other,8.05,8.05,20,20,"We are seeking a student to assist students, faculty & staff with computer  lab station and printer problems. Oversee Lab opening functions, including  filling printer with paper and assisting users users with basic function-  ality of the Lab. Assist Supervisor with the management of the Lab,  including cleaning computer equipment and tables, move equipment as  needed, setup computer systems and assist with software installations  and updates. Performs other duties as assigned. For info contact,  Erasmo Terrero E-mail: e.terrero@miami.edu   ","1053C Communication Intl	 School of Communication 1 -STA 5100 Brunson Dr Coral Gables, FL 33146 2413 ",(305)284-3694 Ext.,"SCHOOL OF COMMUNICATION, Erasmo Terrero"
Federal Work Study - Student,Administrative Offices,12.00,12.00,20,20,"Assist AVP, Manager, and staff on routine office functions and on specific  projects involving research, analysis, and compilation of data. Will be  required to learn and work with proprietary real estate related software.  Must have good communication skills, the ability to work through projects  independently, and prefer some familiarity with real estate and finance.  Proficient with Microsoft Office (Outlook, Word, Excel, PowerPoint, etc.)  We are seeking students with FWS or Miami Commitment funds.  Please contact Jim Klosowski E-mail: jklosowski@miami.edu ","705A Gables One Tower Real Estate -STA 1320 S Dixie Hwy Coral Gables, FL 33146 2926",	(305)284-6950 Ext.,"MR James Klosowski, Department of VP REAL ESTATE & FACILITIES"
Federal Work Study - Student,Student Activities,12.00,12.00,20,20,"Assist AVP, Manager, and staff on routine office functions and on specific  projects involving research, analysis, and compilation of data. Will be  required to learn and work with proprietary real estate related software.  Must have good communication skills, the ability to work through projects  independently, and prefer some familiarity with real estate and finance.  Proficient with Microsoft Office (Outlook, Word, Excel, PowerPoint, etc.)  We are seeking students with FWS or Miami Commitment funds.  Please contact Jim Klosowski E-mail: jklosowski@miami.edu ",,,"MR James Klosowski, Department of VP REAL ESTATE & FACILITIES"
Programmer,Administrative Offices,10.00,10.00,20,20,"This position will support architectural projects for RAD-UM at the  School of Architecture . Specifically, the job position requires some  programming knowledge in back-end and front-end web development,  working knowledge of API's, and the theoretical concepts behind object-  oriented programming. Must have some knowledge of PHP, Javascript,  and Java. This position will have the opportunity to work on a variety of  creative projects. For more info, please contact Chris Chung Telephone #  305-284-5080 E-mail: christopher.chung@miami.edu ","230D Architecture 48        School of Architecture -STA 1223 Dickinson Dr Coral Gables, FL 33146 2501", (305)284-5080 Ext.,"MR Christopher Chung, Department of SCHOOL OF ARCHITECTURE"
Quality Control Assistants,Administrative Offices,10.00,10.00,20,20,"We are seeking a student employee for the following duties: Testing web/  mobile applications, gathering user-generated feedback, and preforming  research. On occasion the incumbent will be responsible for analyzing  user feedback with the result of providing reports that will enable us  to make informed decisions. Must have excellent oral & written communica-  tion skills. An understanding of programing (HTML, CSS, JavaScript, PHP) &  or multimedia and graphic design is preferred. Please contact Peter  Martinez at P.Martinez2@miami.edu Telephone number: 305-284-2215","148 Ungar UMIT - Academic Technology -ST 1365 Memorial Dr Coral Gables, FL 33146 2508",(305)284-2789 Ext.,"MS Peter Martinez, Department of INFORMATION SYSTEMS"
Quality Control Assistants,Student Activities,10.00,10.00,20,20,"We are seeking a student employee for the following duties: Testing web/mobile applications, gathering user-generated feedback, and preforming research. On occasion the incumbent will be responsible for analyzing user feedback with the result of providing reports that will enable us to make informed decisions. Must have excellent oral & written communication skills. An understanding of programing (HTML, CSS, JavaScript, PHP) & or multimedia and graphic design is preferred. Please contact Peter Martinez at P.Martinez2@miami.edu Telephone number: 305-284-2215","148 Ungar, UMIT - Academic Technology -ST, 1365 Memorial Dr, Coral Gables, FL 33146 2509",3052842789,"MS Peter Martinez, Department of INFORMATION SYSTEMS"
Research Assistant,Administrative Offices,10.00,10.00,20,20,"Research Assistants will undergo a wide variety of tasks for RAD-UM  at the School of Architecture. This includes, but not limited to, specific  research or precedent study for a given project; 3D-modelling (in Rhino,  , Sketchup, 3DS Max, or Revit); rendering (V-Ray for Rhino or 3DS Max);  plans, sections, and elevation drawings; physical modeling; diagramming or  post-production using the Adobe Suite programs. Additionally, those who  have a knack or are interested in technology and its influence on ","230D Architecture 48	 School of Architecture -STA 1223 Dickinson Dr Coral Gables, FL 33146 2501",(305)284-5080 Ext.,"MS Off Campus Program, Department of Pediatrics"
Student Assistant,Administrative Offices,10.00,10.00,20,20,"Student assistant needed for the following duties: Making signage, name  tents, name badges, putting together premiums, program material preparation  , matrices and evaluations. Event set up and support is expected.  General office duties include filing, photocopying, answering phones and  providing administrative support. Must possess good working knowledge of  Microsoft Word, Power Point and Excel. Bilingual in Spanish preferred but  not required. Please contact Viena Perez Telephone number: (305) 284-9176  E-mail: vperez@bus.miami.edu ","111 Jenkins	 SBA - Executive Education -STA 5250 University Dr Coral Gables, FL 33146 2000",(305)284-5670 Ext.,"MS Andrea Rachelle Santos, Department of OPHTHALMOLOGY"
Student Assistant,Schools and Libraries,10.00,10.00,20,20,"UM IT Dept. is seeking a Communications student employee to assist with  the projects (including Workday). The primary role is to coordinate and  execute internal communications and assist with messaging efforts for the  Workday project. You will report to the Workday projects Communications  Manager and serve as an assistant for internal communications.  Duties include, but are not limited to: Assisting in writing content for  print and web. Assisting at UMIT events, as needed. Maintaining the Workday  project branding. Please email Lorilei Barsh at lorilei@miami.edu ","350 Gables One Tower	 UMIT - ERP - Change Management 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-5474,"MR Edward Cruz, Department of SR VICE PROVOST-UNDERGRADUATE"
Student assistant,Other,8.05,12.00,20,20,"UM IT Dept. is seeking a Communications student employee to assist with  the projects (including Workday). The primary role is to coordinate and  execute internal communications and assist with messaging efforts for the  Workday project. You will report to the Workday projects Communications  Manager and serve as an assistant for internal communications.  Duties include, but are not limited to: Assisting in writing content for  print and web. Assisting at UMIT events, as needed. Maintaining the Workday  project branding. Please email Lorilei Barsh at lorilei@miami.edu ","350 Gables One Tower	 UMIT - ERP - Change Management 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-5474,"LAW LIBRARY, Maria Serrano"
"Student Assistant, Communications",Administrative Offices,8.05,10.00,20,20,"UM IT Dept. is seeking a Communications student employee to assist with  the projects (including Workday). The primary role is to coordinate and  execute internal communications and assist with messaging efforts for the  Workday project. You will report to the Workday projects Communications  Manager and serve as an assistant for internal communications.  Duties include, but are not limited to: Assisting in writing content for  print and web. Assisting at UMIT events, as needed. Maintaining the Workday  project branding. Please email Lorilei Barsh at lorilei@miami.edu ","350 Gables One Tower UMIT - ERP - Change Management 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-5474,"MS Lorilei Barsh, Department of ENTERPRISE RESOURCE PLANNING"
"Student Assistant, Communications",Student Activities,8.05,8.05,20,20,"UM IT Dept. is seeking a Communications student employee to assist with the projects (including Workday). The primary role is to coordinate and execute internal communications and assist with messaging efforts for the Workday project. You will report to the Workday projects Communications Manager and serve as an assistant for internal communications. Duties include, but are not limited to: Assisting in writing content for print and web. Assisting at UMIT events, as needed. Maintaining the Workday project branding. Please email Lorilei Barsh at lorilei@miami.edu","350 Gables One Tower, UMIT - ERP - Change Management, 1320 S Dixie Hwy, Coral Gables, FL 33146 2926",3052845475,"MS Lorilei Barsh, Department of ENTERPRISE RESOURCE PLANNING"
Technology Student Assistant,Administrative Offices,9.00,18.00,20,20,"Student Employee needed for the following duties; Assist in answering and  directing calls from faculty and staff, entering service requests into  ticket tracking system, forwarding UMIT related requests to UMIT help desk,  escalating various LawIT requests to appropriate personnel and provide  high level of service to all callers. Assist the Copy Center with the  printing and copying of packets and class materials. Must be able to lift  up to 50 lbs. Please contact:Jose Marcos Telephone Number: 305-284-8053  Email:jmarcos@law.miami.edu ","C117 Law Admin (C) Law - IT -STA 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-3000 Ext.,"MR Jose Marcos, Department of SCHOOL OF LAW"
Technology Student Assistant,Administrative Offices,9.00,9.00,20,20,"Student Employee needed for the following duties; Assist in answering and  directing calls from faculty and staff, entering service requests into  ticket tracking system, forwarding UMIT related requests to UMIT help desk,  escalating various LawIT requests to appropriate personnel and provide  high level of service to all callers. Assist the Copy Center with the  printing and copying of packets and class materials. Must be able to lift  up to 50 lbs. Please contact:Jose Marcos Telephone Number: 305-284-8053  Email:jmarcos@law.miami.edu ","C117 Law Admin (C)	 Law - IT -STA 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-3000 Ext.,"MR Jose Marcos, Department of SCHOOL OF LAW"
Technology Student Assistant,Schools and Libraries,9.00,9.00,20,20,"Student Employee needed for the following duties; Assist in answering and  directing calls from faculty and staff, entering service requests into  ticket tracking system, forwarding UMIT related requests to UMIT help desk,  escalating various LawIT requests to appropriate personnel and provide  high level of service to all callers. Assist the Copy Center with the  printing and copying of packets and class materials. Must be able to lift  up to 50 lbs. Please contact: Jose Marcos Telephone Number: 305-284-8053  Email:jmarcos@law.miami.edu ","C117 Law Admin (C)	 Law - IT -STA 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-3000 Ext.,"MR Jose Marcos, Department of SCHOOL OF LAW"
technology student assistant,Other,9.00,9.00,20,20,"Student Employee needed for the following duties; Assist in answering and  directing calls from faculty and staff, entering service requests into  ticket tracking system, forwarding UMIT related requests to UMIT help desk,  escalating various LawIT requests to appropriate personnel and provide  high level of service to all callers. Assist the Copy Center with the  printing and copying of packets and class materials. Must be able to lift  up to 50 lbs. Please contact: Jose Marcos Telephone Number: 305-284-8053  Email:jmarcos@law.miami.edu ","C117 Law Admin (C)	 Law - IT -STA 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-3000 Ext.,"LAW SCHOOL, Jose Marcos"
Technology Student Assistant,Schools and Libraries,9.00,9.00,20,20,"Student Employee needed for the following duties; Assist in answering and  directing calls from faculty and staff, entering service requests into  ticket tracking system, forwarding UMIT related requests to UMIT help desk,  escalating various LawIT requests to appropriate personnel and provide  high level of service to all callers. Assist the Copy Center with the  printing and copying of packets and class materials. Must be able to lift  up to 50 lbs. Please contact:Jose Marcos Telephone Number: 305-284-8053  Email:jmarcos@law.miami.edu ","C117 Law Admin (C)	 Law - IT -STA 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-3000 Ext.,"LAW SCHOOL, Jose Marcos"
Technology Student Assistant,Other,9.00,9.00,20,20,"Student Employee needed for the following duties; Assist in answering and  directing calls from faculty and staff, entering service requests into  ticket tracking system, forwarding UMIT related requests to UMIT help desk,  escalating various LawIT requests to appropriate personnel and provide  high level of service to all callers. Assist the Copy Center with the  printing and copying of packets and class materials. Must be able to lift  up to 50 lbs. Please contact:Jose Marcos Telephone Number: 305-284-8053  Email:jmarcos@law.miami.edu ","C117 Law Admin (C)	 Law - IT -STA 1311 Miller Dr Coral Gables, FL 33146 2300",(305)284-3000 Ext.,"LAW SCHOOL, Jose Marcos"
Academic Mentor,Administrative Offices,9.00,12.00,20,20,"We are seeking a student employee to review and monitor academic progress  of student athletes. Strong skills in time management, organization,  communication, and report writing. Must be reliable, role model, patient,  and have high integrity. Minimum GPA 3. Will work some evenings & Sundays.  Please contact Mike Imeokparia Telephone number: (305) 284-2652  E-mail: m.imeokparia@miami.edu ","232 Hecht Varsity Athl Ctr	 Athletics, Varsity Coral Gables, FL 33124",(305)284-3243,"MR Michael Imeokparia, Department of ATHLETICS ADMINISTRATION"
Federal work student,Schools and Libraries,8.05,8.05,20,20,"We are seeking a student to assist students, faculty & staff with computer  lab station and printer problems. Oversee Lab opening functions, including  filling printer with paper and assisting users users with basic function-  ality of the Lab. Assist Supervisor with the management of the Lab,  including cleaning computer equipment and tables, move equipment as  needed, setup computer systems and assist with software installations  and updates. Performs other duties as assigned. For info contact,  Erasmo Terrero E-mail: e.terrero@miami.edu ","1053C Communication Intl	 School of Communication 1 -STA 5100 Brunson Dr Coral Gables, FL 33146 2413",(305)284-3694 Ext.,SCHOOL OF COMMUNICATION
Federal work student,Other,8.05,8.50,20,20,"We are seeking a student to assist students, faculty & staff with computer  lab station and printer problems. Oversee Lab opening functions, including  filling printer with paper and assisting users users with basic function-  ality of the Lab. Assist Supervisor with the management of the Lab,  including cleaning computer equipment and tables, move equipment as  needed, setup computer systems and assist with software installations  and updates. Performs other duties as assigned. For info contact,  Erasmo Terrero E-mail: e.terrero@miami.edu ","1053C Communication Intl	 School of Communication 1 -STA 5100 Brunson Dr Coral Gables, FL 33146 2413",(305)284-3694 Ext.,SCHOOL OF COMMUNICATION
Student Assistant,Schools and Libraries,10.00,10.00,20,20,"Student assistant needed for the following duties: Making signage, name  tents, name badges, putting together premiums, program material preparation  , matrices and evaluations. Event set up and support is expected.  General office duties include filing, photocopying, answering phones and  providing administrative support. Must possess good working knowledge of  Microsoft Word, Power Point and Excel. Bilingual in Spanish preferred but  not required. Please contact Viena Perez Telephone number: (305) 284-9176  E-mail: vperez@bus.miami.edu ","111 Jenkins SBA - Executive Education -STA 5250 University Dr Coral Gables, FL 33146 2000",(305)284-5670 Ext.,"MS Andrea Rachelle Santos, Department of OPHTHALMOLOGY"
Student Assistant,Other,8.05,12.00,20,20,"Student assistant needed for the following duties: Making signage, name  tents, name badges, putting together premiums, program material preparation  , matrices and evaluations. Event set up and support is expected.  General office duties include filing, photocopying, answering phones and  providing administrative support. Must possess good working knowledge of  Microsoft Word, Power Point and Excel. Bilingual in Spanish preferred but  not required. Please contact Viena Perez Telephone number: (305) 284-9176  E-mail: vperez@bus.miami.edu ","111 Jenkins SBA - Executive Education -STA 5250 University Dr Coral Gables, FL 33146 2000",(305)284-5670 Ext.,"ENTERPRISE RESOURCE PLANNING, Lorilei Barsh"
Video Assistant,Administrative Offices,8.05,10.00,20,20,"We are seeking a Video Assistant to assist the Video Coordinator with all  duties related to Football practices and games. Assist Videographers with  Football practices and games - 45%. Assist in packing of Video equipment  for away and home games - 25%. Assist with all duties as they relate to  the Video Services Room - 25%. Other duties as assigned - 5%.  Must be available between 8am - 12pm during the school year.  If interested, please contact R Andrew Rosettti Telephone number:  786-390-5042 E-mail: a.rossetti@miami.edu (01) ","236 Hecht Athletic Ctr Athletics - Business Operation 5821 San Amaro Dr Coral Gables, FL 33146 2402",(305)284-2163,"MR R Rossetti, Department of ATHLETICS ADMINISTRATION"
Video Assistant,Schools and Libraries,8.05,8.05,20,20,"We are seeking a Video Assistant to assist the Video Coordinator with all  duties related to Football practices and games. Assist Videographers with  Football practices and games - 45%. Assist in packing of Video equipment  for away and home games - 25%. Assist with all duties as they relate to  the Video Services Room - 25%. Other duties as assigned - 5%.  Must be available between 8am - 12pm during the school year.  If interested, please contact R Andrew Rosettti Telephone number:  786-390-5042 E-mail: a.rossetti@miami.edu (01) ","236 Hecht Athletic Ctr Athletics - Business Operation 5821 San Amaro Dr Coral Gables, FL 33146 2402",(305)284-2163,"MR R Rossetti, Department of ATHLETICS ADMINISTRATION"
video assistant,Student Activities,8.05,8.05,20,20,"We are seeking a Video Assistant to assist the Video Coordinator with all duties related to Football practices and games. Assist Videographers with Football practices and games - 45%. Assist in packing of Video equipment for away and home games - 25%. Assist with all duties as they relate to the Video Services Room - 25%. Other duties as assigned - 5%. Must be available between 8am - 12pm during the school year. If interested, please contact R Andrew Rosettti Telephone number:  786-390-5042 E-mail: a.rossetti@miami.edu (01) ","236 Hecht Athletic Ctr Athletics - Business Operation 5821 San Amaro Dr, Coral Gables, FL 33146 2402",(305)284-2163,"ATHETLICS ADMIN, Andrew Rosettti"
video assistant,Other,8.05,8.05,20,20,"We are seeking a Video Assistant to assist the Video Coordinator with all  duties related to Football practices and games. Assist Videographers with  Football practices and games - 45%. Assist in packing of Video equipment  for away and home games - 25%. Assist with all duties as they relate to  the Video Services Room - 25%. Other duties as assigned - 5%.  Must be available between 8am - 12pm during the school year.  If interested, please contact R Andrew Rosettti Telephone number:  786-390-5042 E-mail: a.rossetti@miami.edu (01) ","236 Hecht Athletic Ctr Athletics - Business Operation 5821 San Amaro Dr Coral Gables, FL 33146 2402",(305)284-2163,"ATHETLICS ADMIN, Andrew Rosettti"
Graduate Audio Visual Technician,Administrative Offices,14.00,15.00,20,20,"Graduate Audio Visual Technician needed for the following duties; Provide  audio-visual expertise to all events and activities throughout the Complex.  Provide multi-media equipment and support to a wide variety of events  including musical and theatrical performances as well as lectures.  1-2 years demonstrated sound/audio engineering experience and at least 1 yr  experience in a video or computer support dept.(basic computer and network  troubleshooting a plus). Basic knowledge of Microsoft Office Applications,  specifically, Word, Excel & PowerPoint. Please e-mail: kgrayson@miami.edu ","2420L Whitten UC STU AFFRS - Stu Ctr Complex - 1306 Stanford Dr Coral Gables, FL 33146",(305)284-5150 Ext.,"MS Kesha Grayson, Department of STUDENT ACTIVITIES CENTER"
Graduate Audio Visual Technician,Student Activities,14.00,15.00,20,20,"Graduate Audio Visual Technician needed for the following duties; Provide  audio-visual expertise to all events and activities throughout the Complex.  Provide multi-media equipment and support to a wide variety of events  including musical and theatrical performances as well as lectures.  1-2 years demonstrated sound/audio engineering experience and at least 1 yr  experience in a video or computer support dept.(basic computer and network  troubleshooting a plus). Basic knowledge of Microsoft Office Applications,  specifically, Word, Excel & PowerPoint. Please e-mail: kgrayson@miami.edu","2420L Whitten UC, STU AFFRS - Stu Ctr Complex - 1306 Stanford Dr, Coral Gables, FL 33146",3052845150,"MS Kesha Grayson, Department of STUDENT ACTIVITIES CENTER"
Banquet Server,Housing and Dining,8.05,8.05,20,20,"We are seeking students with excellent communication and guest Service skills to help set up and work events at the Hurricane 100 Club. A sound knowledge of food, wine and beverage service is optional but not required. The optimal student-employee would have a flexible schedule to accommodate our events. For More Information call Soc. Giourgas (305)284-2444.","125 Whitten Univ Ctr. Auxiliary Services, Coral Gables",3052843584,"MR Melvin Tenen, Department of DINING & VENDING SERVICES"
Student Assistant,Medical Campus,9.00,9.00,20,99,"The department of Dermatology and Cutaneous Surgery is looking for a  responsible, well-organized student assistant with excellent telephone and  customer service skills to provide administrative support. Must know MS  Office (word, excel, powerpoint). Job is at Medical Campus.Please send  CV to mpalomino@med.miami.edu. We look forward to hearing from you","2023A Rosenstiel Med Sci         Dermatology - Admin Office -ST 1600 NW 10th Ave Miami, FL 33136 1015",(305)243-4472 Ext.,"MS Saray Whittaker, Department of ADMINISTRATION"
Assistant to the Artistic Director,Other,11.00,11.00,25,25,"Children's Theatre company located off campus is looking for a detail  oriented problem solver. High level of organization, multi-tasking, and  writing skills. Student will aid the Artistic Director in organizing  calendar of events, scheduling meetings and completing errands. Personal  transportatin a plus. Computer skills are required.(Microsoft Office, Adobe  Photoshop and Publisher).","37-K, Office of Student Employment, Coral Gables, FL 33124",305-284-8800,Larry Fields of Department of Fantasy Theater
help desk,Schools and Libraries,10.00,10.00,5,20,"Respond to requests for technical assistance in person, via phone,  electronically. Diagnose & resolve technical hardware & software issues.  Follow standard help desk procedures. Log all help desk interactions.  Administer helpdesk software. Provide helpdesk support & resolve problems  to the end user's satisfaction. Monitor & respond quickly & effectively to  requests received through the IT helpdesk. Monitor Service Desk for tickets  assigned to the queue. Modify configurations, utilities, software & default  settings, etc. Please email secharren@bus.miami.edu (03)  ","Floor 09 Gables One Tower SBA - IT -STA 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-1771 Ext.,"OFF OF DEAN,SCHOOL OF BUS ADMIN"
help desk,Other,10.00,10.00,5,20,"Respond to requests for technical assistance in person, via phone,  electronically. Diagnose & resolve technical hardware & software issues.  Follow standard help desk procedures. Log all help desk interactions.  Administer helpdesk software. Provide helpdesk support & resolve problems  to the end user's satisfaction. Monitor & respond quickly & effectively to  requests received through the IT helpdesk. Monitor Service Desk for tickets  assigned to the queue. Modify configurations, utilities, software & default  settings, etc. Please email secharren@bus.miami.edu (03)  ","Floor 09 Gables One Tower SBA - IT -STA 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-1771 Ext.,"OFF OF DEAN,SCHOOL OF BUS ADMIN"
Helpdesk Tech,Schools and Libraries,10.00,10.00,5,20,"Respond to requests for technical assistance in person, via phone,  electronically. Diagnose & resolve technical hardware & software issues.  Follow standard help desk procedures. Log all help desk interactions.  Administer helpdesk software. Provide helpdesk support & resolve problems  to the end user's satisfaction. Monitor & respond quickly & effectively to  requests received through the IT helpdesk. Monitor Service Desk for tickets  assigned to the queue. Modify configurations, utilities, software & default  settings, etc. Please email secharren@bus.miami.edu (03) ","Floor 09 Gables One Tower SBA - IT -STA 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-1771 Ext.,"MS Sebastian Echarren, Department of OFF OF DEAN,SCHL OF BUS ADMINI"
Helpdesk Tech,Student Activities,10.00,10.00,5,20,"Respond to requests for technical assistance in person, via phone, electronically. Diagnose & resolve technical hardware & software issues. Follow standard help desk procedures. Log all help desk interactions. Administer helpdesk software. Provide helpdesk support & resolve problems to the end user's satisfaction. Monitor & respond quickly & effectively to requests received through the IT helpdesk. Monitor Service Desk for ticketsassigned to the queue. Modify configurations, utilities, software & default settings, etc. Please email secharren@bus.miami.edu (03)","Floor 09 Gables One Tower, SBA - IT -STA, 1320 S Dixie Hwy, Coral Gables, FL, 33146 2926",3052841771,"OFF OF DEAN,SCHL OF BUS ADMINI"
Helpdesk Tech,Other,10.00,10.00,5,20,"Respond to requests for technical assistance in person, via phone,  electronically. Diagnose & resolve technical hardware & software issues.  Follow standard help desk procedures. Log all help desk interactions.  Administer helpdesk software. Provide helpdesk support & resolve problems  to the end user's satisfaction. Monitor & respond quickly & effectively to  requests received through the IT helpdesk. Monitor Service Desk for tickets  assigned to the queue. Modify configurations, utilities, software & default  settings, etc. Please email secharren@bus.miami.edu (03) ","Floor 09 Gables One Tower SBA - IT -STA 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-1771 Ext.,"OFF OF DEAN,SCHL OF BUS ADMINI"
Helpdesk Tech,Administrative Offices,10.00,10.00,5,20,"Respond to requests for technical assistance in person, via phone,  electronically. Diagnose & resolve technical hardware & software issues.  Follow standard help desk procedures. Log all help desk interactions.  Administer helpdesk software. Provide helpdesk support & resolve problems  to the end user's satisfaction. Monitor & respond quickly & effectively to  requests received through the IT helpdesk. Monitor Service Desk for tickets  assigned to the queue. Modify configurations, utilities, software & default  settings, etc. Please email secharren@bus.miami.edu (03) ","Floor 09 Gables One Tower SBA - IT -STA 1320 S Dixie Hwy Coral Gables, FL 33146 2926",(305)284-1771 Ext.,"MS Sebastian Echarren, Department of OFF OF DEAN,SCHL OF BUS ADMINI"
Early Childhood Classroom Assistant,Other,9.00,9.00,4,20,Assisting toddlers and younger with developmental delays,"540 Flipse, College of Arts and Science - Pscyhology 20, 5665 Ponce de Leon Blvd, Coral Gables, Florida, 33146 ",(305)325-1818,"MRS Lynne Katz EDD, Department of PSYCHOLOGY"
